Instance,Income
112363,6.05E+04
112364,2.20E+04
112365,4.38E+03
112366,2.90E+04
112367,2.10E+04
112368,5.87E+04
112369,1.64E+05
112370,3.18E+04
112371,3.80E+05
112372,9.64E+04
112373,6.52E+04
112374,1.73E+04
112375,4.04E+04
112376,9.44E+04
112377,1.17E+05
112378,5.79E+04
112379,1.05E+05
112380,7.55E+04
112381,7.30E+04
112382,1.07E+05
112383,2.59E+04
112384,2.04E+05
112385,1.26E+04
112386,1.83E+05
112387,5.73E+04
112388,4.18E+04
112389,3.00E+04
112390,2.17E+04
112391,2.33E+04
112392,1.09E+05
112393,5.29E+04
112394,5.84E+04
112395,1.81E+04
112396,6.36E+04
112397,4.91E+04
112398,3.36E+05
112399,1.03E+05
112400,8.24E+04
112401,9.73E+04
112402,8.57E+05
112403,1.33E+05
112404,1.12E+05
112405,6.04E+04
112406,3.36E+04
112407,2.10E+04
112408,1.84E+04
112409,5.85E+04
112410,2.49E+04
112411,1.27E+05
112412,1.18E+05
112413,2.94E+04
112414,6.27E+04
112415,1.37E+05
112416,7.97E+04
112417,1.11E+05
112418,5.78E+04
112419,2.10E+05
112420,5.42E+04
112421,2.11E+05
112422,1.03E+05
112423,4.79E+04
112424,1.31E+04
112425,4.70E+04
112426,9.83E+04
112427,2.98E+05
112428,1.84E+05
112429,1.14E+04
112430,2.42E+04
112431,1.37E+05
112432,3.94E+04
112433,6.88E+04
112434,4.67E+04
112435,7.25E+04
112436,5.13E+04
112437,7.92E+04
112438,1.30E+05
112439,2.04E+04
112440,2.47E+05
112441,4.50E+04
112442,3.65E+05
112443,6.26E+04
112444,2.77E+04
112445,7.42E+04
112446,4.56E+05
112447,6.60E+05
112448,6.65E+04
112449,8.87E+04
112450,4.05E+04
112451,1.25E+05
112452,2.29E+04
112453,2.95E+04
112454,9.80E+04
112455,7.44E+05
112456,5.97E+04
112457,1.86E+05
112458,1.24E+05
112459,4.65E+04
112460,4.77E+04
112461,4.17E+05
112462,1.03E+05
112463,4.43E+04
112464,5.89E+04
112465,1.48E+05
112466,1.72E+05
112467,5.37E+04
112468,4.42E+04
112469,5.84E+04
112470,3.66E+04
112471,5.49E+04
112472,1.55E+05
112473,6.12E+04
112474,2.21E+04
112475,8.75E+04
112476,9.23E+04
112477,3.89E+04
112478,7.28E+04
112479,2.11E+04
112480,5.88E+04
112481,1.65E+05
112482,3.98E+04
112483,2.64E+05
112484,4.75E+04
112485,1.03E+05
112486,2.10E+04
112487,2.61E+04
112488,1.53E+05
112489,4.95E+04
112490,3.15E+05
112491,6.83E+04
112492,4.84E+04
112493,3.42E+05
112494,1.64E+04
112495,6.39E+03
112496,2.96E+04
112497,2.08E+05
112498,1.84E+04
112499,5.33E+04
112500,1.85E+04
112501,6.49E+04
112502,6.72E+04
112503,5.21E+04
112504,4.10E+04
112505,2.95E+04
112506,5.75E+04
112507,8.24E+04
112508,7.33E+04
112509,1.44E+04
112510,3.89E+04
112511,1.51E+05
112512,1.66E+04
112513,7.63E+04
112514,4.01E+04
112515,7.61E+04
112516,8.98E+04
112517,1.69E+04
112518,8.19E+04
112519,2.46E+04
112520,1.87E+04
112521,1.67E+05
112522,5.70E+04
112523,3.10E+04
112524,7.33E+04
112525,3.01E+03
112526,2.17E+04
112527,4.57E+04
112528,3.31E+04
112529,2.70E+04
112530,9.34E+04
112531,1.11E+05
112532,1.48E+05
112533,1.10E+05
112534,2.33E+05
112535,5.59E+04
112536,1.15E+05
112537,4.02E+04
112538,1.72E+04
112539,1.70E+05
112540,2.74E+04
112541,7.97E+04
112542,2.17E+05
112543,7.75E+04
112544,1.97E+05
112545,4.16E+04
112546,3.64E+04
112547,1.11E+05
112548,5.49E+05
112549,8.83E+04
112550,8.93E+04
112551,1.22E+04
112552,1.36E+05
112553,4.55E+04
112554,8.56E+04
112555,3.04E+04
112556,8.53E+04
112557,5.46E+04
112558,1.07E+05
112559,3.66E+04
112560,3.65E+04
112561,1.96E+05
112562,2.42E+04
112563,1.49E+05
112564,3.57E+05
112565,1.41E+05
112566,3.87E+04
112567,4.63E+04
112568,2.09E+04
112569,1.15E+05
112570,4.53E+04
112571,1.49E+05
112572,1.65E+05
112573,3.19E+04
112574,8.41E+04
112575,8.29E+04
112576,7.43E+04
112577,4.41E+05
112578,3.14E+05
112579,1.03E+05
112580,1.65E+05
112581,4.02E+04
112582,1.97E+04
112583,1.42E+04
112584,2.26E+05
112585,2.42E+04
112586,2.87E+04
112587,1.41E+05
112588,8.41E+04
112589,2.05E+05
112590,1.37E+04
112591,1.56E+05
112592,4.03E+04
112593,2.26E+04
112594,3.04E+04
112595,3.31E+04
112596,7.01E+04
112597,4.85E+04
112598,4.55E+04
112599,5.72E+03
112600,3.17E+04
112601,1.42E+05
112602,2.87E+04
112603,7.15E+04
112604,1.61E+05
112605,2.13E+04
112606,5.54E+04
112607,4.35E+04
112608,9.15E+04
112609,1.52E+05
112610,6.04E+04
112611,1.97E+05
112612,1.78E+05
112613,1.07E+05
112614,1.69E+05
112615,6.63E+04
112616,1.04E+05
112617,9.59E+04
112618,3.29E+05
112619,4.86E+04
112620,3.09E+04
112621,3.54E+04
112622,1.08E+05
112623,7.01E+04
112624,3.77E+04
112625,5.00E+04
112626,1.37E+05
112627,3.86E+04
112628,5.38E+04
112629,5.73E+04
112630,5.20E+04
112631,6.26E+04
112632,2.03E+05
112633,1.42E+05
112634,3.23E+04
112635,5.29E+04
112636,7.34E+04
112637,1.88E+05
112638,2.23E+04
112639,6.70E+04
112640,3.71E+04
112641,3.28E+04
112642,2.62E+05
112643,3.61E+04
112644,1.03E+05
112645,6.55E+04
112646,1.06E+04
112647,3.58E+04
112648,5.80E+04
112649,3.17E+04
112650,1.36E+04
112651,5.17E+04
112652,2.10E+04
112653,4.36E+04
112654,3.95E+04
112655,3.63E+04
112656,2.24E+04
112657,2.86E+05
112658,6.93E+05
112659,1.12E+05
112660,5.09E+04
112661,1.90E+05
112662,6.50E+04
112663,1.02E+05
112664,2.23E+05
112665,4.55E+05
112666,1.07E+05
112667,2.69E+04
112668,4.19E+04
112669,1.07E+05
112670,6.22E+03
112671,2.17E+05
112672,1.16E+05
112673,5.94E+04
112674,2.58E+04
112675,5.08E+04
112676,4.20E+04
112677,5.08E+04
112678,1.89E+04
112679,9.79E+04
112680,1.34E+05
112681,2.62E+04
112682,1.22E+05
112683,1.63E+04
112684,2.25E+05
112685,3.73E+04
112686,3.85E+04
112687,2.15E+04
112688,2.68E+04
112689,1.19E+05
112690,2.92E+04
112691,5.49E+04
112692,3.75E+04
112693,1.09E+05
112694,4.29E+04
112695,1.49E+05
112696,1.46E+05
112697,1.20E+05
112698,6.54E+04
112699,3.23E+05
112700,2.29E+05
112701,4.10E+05
112702,1.16E+05
112703,3.83E+04
112704,4.24E+04
112705,2.22E+05
112706,7.09E+04
112707,4.03E+04
112708,1.13E+05
112709,1.56E+05
112710,5.99E+04
112711,8.45E+04
112712,1.24E+04
112713,4.97E+04
112714,1.16E+05
112715,1.22E+05
112716,3.91E+04
112717,1.98E+04
112718,7.35E+04
112719,3.80E+04
112720,3.08E+04
112721,4.02E+04
112722,4.62E+04
112723,3.67E+04
112724,4.54E+04
112725,5.96E+04
112726,1.25E+04
112727,7.41E+04
112728,1.51E+05
112729,5.67E+04
112730,3.34E+04
112731,5.78E+04
112732,2.24E+04
112733,6.68E+04
112734,1.94E+05
112735,1.85E+04
112736,6.26E+04
112737,6.80E+04
112738,3.86E+05
112739,3.61E+04
112740,5.61E+04
112741,1.63E+04
112742,1.55E+04
112743,3.77E+04
112744,1.08E+05
112745,1.58E+05
112746,4.73E+04
112747,9.19E+04
112748,3.08E+05
112749,5.90E+04
112750,7.23E+03
112751,4.19E+05
112752,4.83E+04
112753,2.83E+04
112754,6.32E+04
112755,4.29E+04
112756,5.52E+04
112757,8.38E+04
112758,1.86E+04
112759,6.54E+03
112760,4.76E+04
112761,7.85E+04
112762,3.40E+05
112763,3.10E+04
112764,1.38E+05
112765,2.73E+04
112766,6.94E+04
112767,7.75E+05
112768,1.79E+04
112769,8.67E+04
112770,4.53E+04
112771,6.71E+04
112772,2.32E+04
112773,1.00E+05
112774,2.61E+04
112775,5.46E+04
112776,3.16E+04
112777,2.80E+04
112778,6.53E+05
112779,1.86E+05
112780,1.51E+05
112781,8.61E+04
112782,4.32E+04
112783,4.98E+04
112784,4.05E+04
112785,1.42E+04
112786,7.96E+04
112787,4.48E+04
112788,3.42E+04
112789,7.89E+04
112790,1.26E+05
112791,1.36E+05
112792,1.69E+04
112793,6.61E+04
112794,5.89E+05
112795,3.34E+04
112796,4.04E+04
112797,4.96E+04
112798,6.26E+04
112799,1.35E+05
112800,4.25E+04
112801,1.38E+04
112802,1.60E+05
112803,4.91E+05
112804,2.37E+04
112805,4.97E+04
112806,2.62E+04
112807,2.23E+04
112808,2.69E+05
112809,4.13E+04
112810,1.72E+05
112811,1.49E+05
112812,8.08E+04
112813,1.98E+05
112814,5.67E+04
112815,4.55E+04
112816,3.54E+04
112817,6.95E+04
112818,5.20E+04
112819,7.46E+04
112820,3.06E+05
112821,3.00E+04
112822,3.75E+04
112823,4.24E+04
112824,3.47E+04
112825,2.79E+04
112826,5.57E+04
112827,4.22E+04
112828,8.31E+04
112829,2.63E+04
112830,7.11E+04
112831,8.06E+04
112832,6.60E+04
112833,1.18E+05
112834,4.61E+04
112835,1.36E+05
112836,3.89E+04
112837,1.34E+05
112838,3.84E+05
112839,5.81E+04
112840,1.27E+05
112841,6.45E+04
112842,1.96E+05
112843,4.91E+04
112844,2.94E+04
112845,5.50E+04
112846,2.79E+05
112847,5.60E+04
112848,1.76E+05
112849,1.23E+05
112850,1.37E+05
112851,2.29E+05
112852,3.08E+04
112853,3.04E+05
112854,4.07E+04
112855,3.80E+05
112856,4.52E+04
112857,2.37E+04
112858,4.28E+04
112859,1.26E+05
112860,4.70E+04
112861,2.12E+05
112862,1.58E+04
112863,7.61E+04
112864,1.71E+05
112865,9.47E+03
112866,2.41E+05
112867,1.22E+04
112868,3.76E+04
112869,9.07E+04
112870,8.20E+04
112871,1.27E+05
112872,3.38E+04
112873,1.74E+05
112874,8.99E+04
112875,7.65E+04
112876,2.04E+05
112877,4.59E+04
112878,3.95E+05
112879,3.35E+05
112880,5.62E+04
112881,4.07E+04
112882,5.23E+05
112883,3.82E+04
112884,3.02E+04
112885,4.83E+04
112886,8.01E+04
112887,2.60E+04
112888,1.13E+05
112889,7.65E+04
112890,1.80E+05
112891,1.20E+05
112892,5.91E+04
112893,3.94E+04
112894,2.88E+05
112895,2.46E+04
112896,2.32E+03
112897,4.63E+04
112898,1.58E+05
112899,3.39E+04
112900,5.43E+04
112901,6.54E+04
112902,3.15E+04
112903,1.74E+05
112904,2.09E+05
112905,5.05E+04
112906,5.31E+04
112907,1.26E+04
112908,9.36E+03
112909,4.38E+05
112910,1.22E+05
112911,5.84E+04
112912,2.32E+04
112913,7.48E+04
112914,1.59E+04
112915,1.99E+05
112916,2.93E+05
112917,7.77E+04
112918,7.28E+04
112919,4.77E+04
112920,3.96E+04
112921,2.24E+04
112922,1.49E+05
112923,1.03E+05
112924,6.33E+04
112925,1.76E+05
112926,1.68E+04
112927,1.51E+04
112928,3.96E+04
112929,7.38E+04
112930,4.65E+05
112931,6.84E+04
112932,1.59E+05
112933,1.08E+04
112934,6.47E+04
112935,6.32E+04
112936,1.21E+05
112937,4.05E+05
112938,6.18E+04
112939,1.97E+04
112940,4.74E+04
112941,4.97E+05
112942,2.95E+04
112943,2.76E+05
112944,4.73E+04
112945,1.28E+05
112946,5.42E+04
112947,3.86E+04
112948,4.51E+04
112949,4.87E+04
112950,1.58E+05
112951,4.40E+04
112952,3.08E+04
112953,4.21E+04
112954,7.24E+04
112955,2.92E+04
112956,2.70E+04
112957,1.74E+04
112958,6.30E+05
112959,5.44E+04
112960,4.96E+04
112961,2.92E+05
112962,7.09E+04
112963,1.16E+05
112964,2.53E+04
112965,4.24E+04
112966,5.35E+05
112967,4.12E+04
112968,1.78E+04
112969,5.93E+04
112970,2.17E+04
112971,5.91E+04
112972,1.83E+05
112973,4.67E+04
112974,6.74E+04
112975,4.64E+04
112976,3.17E+04
112977,1.85E+04
112978,1.01E+05
112979,2.75E+05
112980,5.65E+05
112981,6.43E+04
112982,4.42E+04
112983,9.15E+04
112984,2.22E+04
112985,1.58E+04
112986,3.41E+04
112987,2.59E+04
112988,3.85E+04
112989,6.98E+04
112990,7.09E+04
112991,3.14E+04
112992,1.01E+04
112993,8.86E+04
112994,1.45E+04
112995,1.70E+05
112996,3.11E+04
112997,3.55E+05
112998,5.29E+04
112999,5.05E+04
113000,2.71E+04
113001,3.76E+04
113002,2.22E+04
113003,8.09E+04
113004,9.81E+04
113005,2.43E+04
113006,5.03E+04
113007,2.87E+04
113008,2.01E+04
113009,3.02E+04
113010,3.87E+04
113011,3.42E+04
113012,2.52E+04
113013,5.06E+04
113014,7.63E+04
113015,1.35E+05
113016,3.69E+05
113017,8.99E+04
113018,5.01E+04
113019,1.44E+05
113020,4.97E+04
113021,4.50E+04
113022,5.94E+04
113023,4.33E+04
113024,5.67E+04
113025,1.36E+04
113026,1.28E+04
113027,4.58E+04
113028,3.26E+04
113029,1.65E+05
113030,4.88E+04
113031,6.03E+04
113032,1.65E+04
113033,9.81E+04
113034,3.65E+04
113035,3.71E+04
113036,1.50E+05
113037,8.49E+04
113038,7.83E+04
113039,7.79E+04
113040,4.23E+04
113041,2.18E+04
113042,2.17E+05
113043,3.46E+04
113044,3.42E+05
113045,9.39E+05
113046,4.29E+04
113047,2.18E+04
113048,3.52E+04
113049,1.25E+05
113050,1.29E+05
113051,1.35E+05
113052,1.30E+04
113053,7.88E+04
113054,4.60E+04
113055,4.15E+04
113056,7.26E+04
113057,2.90E+04
113058,2.80E+04
113059,6.68E+04
113060,6.56E+04
113061,4.90E+04
113062,6.91E+04
113063,1.94E+05
113064,7.97E+04
113065,4.88E+04
113066,1.66E+04
113067,7.48E+04
113068,9.50E+04
113069,1.07E+04
113070,1.08E+05
113071,1.52E+05
113072,3.89E+04
113073,2.59E+05
113074,1.58E+05
113075,3.80E+04
113076,9.65E+04
113077,5.47E+04
113078,4.52E+04
113079,4.55E+04
113080,6.66E+04
113081,5.40E+04
113082,3.20E+04
113083,5.61E+04
113084,6.93E+04
113085,2.11E+04
113086,2.06E+05
113087,6.73E+05
113088,4.17E+04
113089,2.45E+05
113090,2.04E+04
113091,5.55E+04
113092,7.91E+04
113093,5.03E+04
113094,1.34E+05
113095,1.55E+05
113096,3.46E+04
113097,3.72E+04
113098,2.32E+05
113099,1.47E+04
113100,4.68E+04
113101,3.39E+05
113102,2.43E+05
113103,4.61E+04
113104,3.06E+04
113105,2.19E+04
113106,1.36E+05
113107,1.13E+05
113108,1.30E+05
113109,2.87E+04
113110,6.59E+04
113111,1.37E+05
113112,8.27E+04
113113,1.43E+05
113114,3.32E+04
113115,5.88E+04
113116,7.78E+04
113117,1.96E+05
113118,8.72E+03
113119,1.85E+05
113120,8.47E+04
113121,4.38E+04
113122,1.17E+05
113123,4.06E+05
113124,2.19E+04
113125,1.48E+05
113126,1.23E+05
113127,6.96E+04
113128,2.14E+04
113129,1.86E+05
113130,1.33E+05
113131,5.22E+04
113132,1.07E+05
113133,7.04E+04
113134,3.38E+05
113135,8.66E+04
113136,9.77E+04
113137,2.94E+04
113138,7.28E+04
113139,1.23E+05
113140,1.64E+05
113141,7.96E+04
113142,1.76E+04
113143,4.59E+04
113144,1.86E+05
113145,8.17E+04
113146,5.59E+04
113147,2.92E+04
113148,1.88E+05
113149,5.20E+04
113150,3.28E+04
113151,3.89E+04
113152,4.56E+04
113153,1.61E+05
113154,1.00E+05
113155,5.19E+04
113156,7.17E+05
113157,1.80E+05
113158,3.95E+04
113159,2.19E+05
113160,2.33E+04
113161,1.54E+05
113162,6.48E+04
113163,3.37E+04
113164,5.59E+04
113165,2.58E+05
113166,2.69E+04
113167,1.44E+05
113168,3.83E+04
113169,5.36E+04
113170,2.15E+05
113171,6.87E+04
113172,1.35E+05
113173,2.68E+04
113174,8.83E+04
113175,5.58E+04
113176,9.84E+04
113177,1.00E+05
113178,4.11E+04
113179,1.51E+04
113180,2.36E+04
113181,4.96E+04
113182,2.77E+04
113183,3.17E+04
113184,4.75E+04
113185,1.02E+05
113186,1.47E+05
113187,1.94E+05
113188,2.29E+04
113189,1.63E+05
113190,3.03E+04
113191,2.09E+04
113192,3.21E+04
113193,1.04E+05
113194,5.50E+04
113195,2.16E+05
113196,3.56E+04
113197,7.93E+05
113198,8.37E+04
113199,4.65E+04
113200,2.52E+04
113201,4.25E+04
113202,2.51E+04
113203,2.57E+04
113204,1.01E+05
113205,6.34E+05
113206,7.48E+04
113207,3.19E+04
113208,2.24E+05
113209,1.26E+05
113210,1.02E+05
113211,3.81E+04
113212,9.31E+04
113213,5.83E+04
113214,4.05E+04
113215,8.06E+04
113216,6.78E+04
113217,2.08E+04
113218,4.75E+04
113219,1.52E+04
113220,1.49E+05
113221,1.52E+04
113222,1.50E+04
113223,1.26E+05
113224,3.26E+04
113225,8.62E+04
113226,3.80E+04
113227,6.16E+04
113228,4.37E+04
113229,1.50E+04
113230,4.25E+04
113231,3.59E+04
113232,2.78E+05
113233,5.64E+04
113234,4.23E+04
113235,2.22E+05
113236,6.16E+04
113237,1.76E+05
113238,8.29E+04
113239,3.23E+04
113240,7.67E+04
113241,1.07E+05
113242,1.04E+05
113243,9.00E+04
113244,4.13E+04
113245,8.58E+04
113246,7.13E+04
113247,5.77E+04
113248,6.41E+04
113249,8.84E+04
113250,3.05E+05
113251,7.78E+04
113252,4.03E+04
113253,7.77E+03
113254,7.60E+04
113255,1.93E+05
113256,3.34E+04
113257,1.32E+05
113258,3.64E+04
113259,2.62E+04
113260,6.75E+04
113261,2.52E+04
113262,6.56E+04
113263,5.07E+05
113264,1.29E+04
113265,6.06E+04
113266,9.81E+04
113267,8.12E+04
113268,2.23E+05
113269,3.23E+04
113270,3.65E+04
113271,2.07E+05
113272,3.69E+04
113273,6.42E+04
113274,1.86E+05
113275,2.53E+04
113276,1.60E+04
113277,1.60E+04
113278,4.13E+05
113279,7.45E+04
113280,9.03E+04
113281,1.75E+05
113282,5.11E+04
113283,7.55E+04
113284,3.98E+05
113285,3.13E+04
113286,5.77E+04
113287,1.54E+05
113288,6.71E+04
113289,8.90E+04
113290,4.70E+04
113291,3.58E+04
113292,3.36E+05
113293,1.25E+04
113294,2.62E+04
113295,3.73E+05
113296,3.46E+04
113297,3.60E+04
113298,5.57E+04
113299,4.83E+04
113300,5.82E+04
113301,2.85E+04
113302,1.15E+05
113303,6.53E+04
113304,1.55E+05
113305,4.26E+04
113306,2.92E+04
113307,1.60E+05
113308,4.47E+04
113309,6.23E+04
113310,2.42E+04
113311,6.92E+04
113312,3.33E+04
113313,1.59E+05
113314,2.40E+04
113315,1.10E+05
113316,5.14E+04
113317,9.36E+04
113318,3.02E+04
113319,2.70E+04
113320,7.23E+04
113321,3.10E+04
113322,3.96E+04
113323,5.28E+04
113324,8.39E+03
113325,1.98E+04
113326,3.55E+04
113327,4.93E+04
113328,1.81E+04
113329,3.01E+05
113330,1.46E+05
113331,1.67E+04
113332,5.23E+04
113333,2.10E+05
113334,3.06E+04
113335,1.13E+04
113336,1.26E+05
113337,7.59E+03
113338,9.02E+04
113339,3.18E+04
113340,6.14E+04
113341,1.28E+05
113342,6.24E+04
113343,2.04E+04
113344,1.89E+04
113345,1.81E+04
113346,6.53E+04
113347,8.03E+04
113348,9.42E+04
113349,4.79E+04
113350,3.44E+04
113351,1.77E+05
113352,4.07E+04
113353,9.86E+04
113354,3.70E+04
113355,2.22E+05
113356,8.49E+04
113357,9.68E+03
113358,1.19E+05
113359,8.66E+03
113360,1.36E+05
113361,1.55E+05
113362,1.67E+05
113363,7.60E+04
113364,6.25E+04
113365,8.67E+04
113366,3.81E+04
113367,8.04E+04
113368,3.34E+04
113369,1.01E+05
113370,3.13E+04
113371,1.26E+05
113372,4.37E+04
113373,1.18E+05
113374,2.74E+05
113375,1.27E+05
113376,9.15E+04
113377,3.71E+04
113378,1.37E+05
113379,1.61E+05
113380,3.70E+04
113381,1.43E+05
113382,2.70E+05
113383,3.56E+04
113384,1.33E+05
113385,2.08E+05
113386,4.80E+04
113387,1.46E+05
113388,8.09E+04
113389,2.04E+04
113390,1.18E+05
113391,3.73E+04
